"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",52,"55.3%","24.5%","79.8%","42%","52%",113,122,190,2.5,"56.3%","20.6%","27%",36,168,2.4,8,"25.8%",368,"22.9%","23.3%",0.48,0.18
"Ahri","Middle",2,"2.1%","1.1%","3.2%","0%","100%",9,6,5,2.3,"73.7%","15.4%","0%",140,454,8,7.5,"24.2%",556,"33.6%","26.9%",0.35,0.27
"Akali","Top",1,"1.1%","31.9%","33.0%","0%","100%",0,0,3,3,"50.0%","0.0%","0%",-154,-97,-11,6.9,"26.7%",242,"24.5%","20.3%",0.52,0
"Alistar","Support",2,"2.1%","0.0%","2.1%","50%","100%",0,5,16,3.2,"69.6%","29.4%","0%",-97,356,2.5,1.1,"3.4%",127,"7.8%","7.7%",1.48,0.42
"Anivia","Middle",1,"1.1%","0.0%","1.1%","0%","100%",0,2,1,0.5,"100.0%","20.0%","0%",261,106,5,8.9,"25.0%",123,"14.3%","24.1%",0.45,0.13
"Aphelios","ADC",47,"50.0%","43.6%","93.6%","66%","19%",164,73,213,5.2,"62.8%","14.9%","17%",134,66,5.9,9.3,"32.1%",534,"29.2%","27.1%",0.43,0.31
"Ashe","ADC",6,"6.4%","0.0%","6.4%","33%","100%",15,12,29,3.7,"66.7%","18.2%","17%",45,42,-0.2,9.9,"34.5%",564,"28.4%","28.2%",0.42,0.46
"Azir","Middle",8,"8.5%","4.3%","12.8%","13%","63%",13,22,18,1.4,"62.0%","22.2%","13%",173,234,7.6,9.2,"29.2%",376,"24.1%","27.2%",0.42,0.21
"Bard","Support",1,"1.1%","0.0%","1.1%","100%","100%",3,1,12,15,"71.4%","5.3%","0%",209,18,-4,1.3,"4.2%",258,"10.8%","14.0%",2.35,0.43
"Blitzcrank","Support",2,"2.1%","3.2%","5.3%","50%","100%",1,3,10,3.7,"40.7%","13.6%","0%",167,209,1.5,0.9,"2.0%",105,"5.6%","6.5%",1.93,0.32
"Braum","Support",25,"26.6%","8.5%","35.1%","48%","60%",8,52,196,3.9,"69.4%","20.4%","20%",15,-92,1.9,1,"2.5%",130,"6.9%","8.6%",1.5,0.31
"Camille","Top",7,"7.4%","5.3%","12.8%","43%","100%",18,23,30,2.1,"54.5%","25.8%","29%",-319,-431,-8.6,8.4,"29.1%",383,"23.3%","24.7%",0.45,0.19
"Cassiopeia","ADC",2,"2.1%","8.5%","19.1%","0%","100%",5,7,4,1.3,"81.8%","19.4%","50%",-181,-361,-6,8,"28.1%",293,"30.4%","27.4%",0.48,0.26
"Cassiopeia","Middle",8,"8.5%","8.5%","19.1%","63%","50%",27,12,36,5.3,"72.4%","17.4%","38%",30,-90,1.9,8.6,"26.9%",383,"23.9%","25.4%",0.53,0.19
"Cho'Gath","Top",1,"1.1%","0.0%","1.1%","100%","100%",4,3,6,3.3,"58.8%","50.0%","100%",967,463,21,6.1,"14.8%",464,"20.5%","18.2%",0.58,0.25
"Corki","Middle",4,"4.3%","4.3%","8.5%","25%","75%",13,9,14,3,"87.1%","17.3%","50%",-288,-279,-6.5,9.6,"30.7%",606,"39.4%","29.9%",0.46,0.2
"Diana","Middle",4,"4.3%","1.1%","5.3%","25%","100%",4,13,9,1,"43.3%","24.5%","0%",-317,-179,-10.3,8,"26.0%",210,"17.2%","22.6%",0.43,0.21
"Ekko","Middle",3,"3.2%","3.2%","6.4%","33%","100%",6,4,12,4.5,"60.0%","11.1%","33%",-161,24,-6.7,9.3,"29.7%",472,"27.2%","25.7%",0.41,0.13
"Elise","Jungle",14,"14.9%","31.9%","46.8%","36%","64%",27,36,49,2.1,"63.9%","23.1%","21%",-73,-121,-2.6,4.8,"14.4%",272,"15.6%","16.2%",0.74,0.41
"Ezreal","ADC",15,"16.0%","2.1%","18.1%","33%","60%",44,20,44,4.4,"71.0%","12.3%","20%",-251,-161,-6.7,9.2,"31.6%",574,"33.4%","27.2%",0.44,0.31
"Fiora","Top",3,"3.2%","1.1%","4.3%","67%","100%",4,9,12,1.8,"42.1%","22.5%","0%",46,55,-1.3,8.4,"29.1%",359,"20.3%","23.9%",0.45,0.22
"Galio","Support",1,"1.1%","0.0%","1.1%","0%","100%",0,2,6,3,"85.7%","16.7%","0%",-291,27,9,2.1,"6.7%",118,"9.1%","9.0%",1.15,0.3
