"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",12,"13.2%","4.4%","17.6%","33%","58%",18,33,40,1.8,"50.4%","22.6%","17%",-103,81,-1,7.3,"23.7%",322,"18.2%","20.4%",0.48,0.18
"Ahri","-",0,"0%","1.1%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Akali","Middle",1,"1.1%","3.3%","4.4%","100%","100%",9,0,8,17,"81.0%","0.0%","0%",245,515,13,8.7,"27.8%",704,"28.0%","28.4%",0.47,0.2
"Alistar","Support",3,"3.3%","1.1%","4.4%","67%","67%",5,7,23,4,"84.8%","22.6%","33%",-75,-40,0.7,1.1,"3.1%",148,"7.9%","9.2%",1.59,0.22
"Aphelios","ADC",41,"45.1%","27.5%","72.5%","63%","32%",154,73,178,4.5,"66.7%","16.2%","24%",33,11,1,9.8,"32.7%",541,"29.7%","27.2%",0.44,0.31
"Ashe","ADC",33,"36.3%","11.0%","47.3%","52%","45%",70,56,206,4.9,"69.7%","17.2%","27%",43,-127,-1.1,9.3,"29.6%",457,"25.6%","25.2%",0.41,0.33
"Azir","Middle",24,"26.4%","34.1%","60.4%","54%","54%",88,57,113,3.5,"73.1%","19.7%","13%",-2,56,1.1,9.2,"29.2%",579,"29.5%","26.2%",0.43,0.24
"Bard","Support",22,"24.2%","18.7%","42.9%","36%","55%",7,49,158,3.4,"80.9%","18.6%","27%",-7,120,1.6,1.2,"3.6%",165,"9.5%","8.5%",2.17,0.46
"Blitzcrank","Support",6,"6.6%","7.7%","14.3%","83%","100%",9,18,61,3.9,"71.4%","25.0%","33%",50,43,-5,1,"2.3%",170,"9.0%","9.3%",1.44,0.34
"Braum","Support",16,"17.6%","6.6%","24.2%","38%","69%",5,37,97,2.8,"65.0%","19.7%","25%",-42,-69,-0.6,1,"2.4%",129,"7.8%","8.0%",1.49,0.35
"Caitlyn","ADC",8,"8.8%","12.1%","20.9%","38%","25%",28,15,21,3.3,"55.7%","14.7%","13%",-156,174,4.9,9.9,"33.5%",527,"26.9%","29.4%",0.41,0.46
"Camille","Top",6,"6.6%","8.8%","15.4%","50%","83%",24,17,28,3.1,"63.4%","20.5%","67%",659,338,7.2,8.5,"27.9%",507,"26.0%","25.8%",0.38,0.15
"Cassiopeia","ADC",2,"2.2%","4.4%","13.2%","100%","50%",6,2,8,7,"66.7%","11.8%","0%",-175,11,0.5,9.9,"32.0%",302,"18.8%","26.8%",0.42,0.28
"Cassiopeia","Middle",6,"6.6%","4.4%","13.2%","33%","83%",14,16,20,2.1,"66.7%","22.2%","33%",-55,267,10.5,9.5,"29.4%",335,"20.8%","26.0%",0.43,0.13
"Corki","Middle",9,"9.9%","6.6%","16.5%","67%","100%",52,17,29,4.8,"69.8%","16.8%","11%",5,88,2.3,9.4,"29.5%",659,"33.6%","28.6%",0.46,0.19
"Diana","Middle",1,"1.1%","0.0%","1.1%","100%","100%",4,2,7,5.5,"68.8%","25.0%","0%",-80,-75,-13,9.5,"27.6%",499,"28.6%","25.5%",0.49,0.2
