"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",5,"11.9%","2.4%","14.3%","40%","80%",8,15,26,2.3,"47.9%","19.0%","40%",-347,104,-8.2,7.5,"22.2%",431,"22.8%","19.9%",0.41,0.24
"Akali","Middle",6,"14.3%","33.3%","47.6%","67%","50%",16,7,24,5.7,"46.0%","11.7%","0%",-282,-7,2,8,"22.3%",381,"20.1%","21.4%",0.45,0.12
"Alistar","Support",14,"33.3%","42.9%","76.2%","64%","43%",5,38,127,3.5,"67.3%","24.7%","21%",-21,-13,-4.6,1,"2.0%",130,"6.9%","8.2%",1.68,0.29
"Aphelios","ADC",10,"23.8%","23.8%","47.6%","30%","60%",29,31,35,2.1,"62.7%","22.0%","40%",376,122,10.6,9.3,"31.3%",425,"24.2%","27.0%",0.41,0.36
"Ashe","-",0,"0%","2.4%","2.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Azir","Middle",5,"11.9%","4.8%","16.7%","80%","60%",13,10,23,3.6,"48.0%","21.7%","40%",60,103,2.8,8.7,"27.0%",570,"26.9%","22.8%",0.39,0.14
"Bard","Support",2,"4.8%","0.0%","4.8%","50%","100%",1,4,17,4.5,"90.0%","17.4%","50%",202,43,-1.5,1.4,"4.0%",142,"8.6%","9.3%",2.67,0.57
"Blitzcrank","Support",1,"2.4%","0.0%","2.4%","100%","100%",2,2,7,4.5,"52.9%","22.2%","100%",-249,-227,-60,1.3,"2.6%",135,"6.1%","9.9%",1.11,0.52
"Camille","Top",10,"23.8%","50.0%","73.8%","60%","0%",34,25,32,2.6,"45.8%","24.3%","30%",-73,-132,-0.9,7.4,"21.9%",430,"24.9%","20.9%",0.42,0.22
"Cassiopeia","Middle",1,"2.4%","0.0%","2.4%","0%","100%",2,5,1,0.6,"50.0%","31.3%","0%",-295,-336,-8,8.6,"23.5%",384,"30.4%","24.1%",0.41,0.34
"Ekko","Middle",1,"2.4%","0.0%","2.4%","0%","100%",2,3,4,2,"85.7%","18.8%","0%",150,13,-4,7.5,"20.2%",403,"26.5%","23.2%",0.43,0.12
"Fiora","Top",1,"2.4%","2.4%","4.8%","0%","100%",0,2,0,0,"-","16.7%","0%",144,-461,8,8.1,"25.5%",392,"37.9%","25.7%",0.48,0.13
"Galio","Middle",7,"16.7%","19.0%","50.0%","86%","14%",16,7,54,10,"68.6%","19.4%","14%",3,87,-2.1,7.8,"20.6%",322,"18.6%","19.7%",0.49,0.18
"Galio","Support",6,"14.3%","19.0%","50.0%","67%","67%",5,20,60,3.3,"69.9%","27.8%","17%",-70,259,0.3,1.1,"2.9%",155,"7.6%","8.6%",1.54,0.23
"Gangplank","Top",7,"16.7%","28.6%","45.2%","43%","57%",17,17,33,2.9,"60.2%","19.3%","29%",211,113,5,7.8,"25.4%",651,"31.8%","24.5%",0.44,0.08
"Gnar","Top",11,"26.2%","21.4%","47.6%","45%","45%",23,40,59,2.1,"56.6%","23.5%","9%",-171,-224,-2.9,7,"22.0%",451,"24.2%","20.4%",0.46,0.18
"Gragas","Support",3,"7.1%","11.9%","40.5%","33%","67%",1,5,21,4.4,"66.7%","13.2%","33%",-258,-35,0.7,1.4,"4.3%",166,"9.7%","8.4%",1.6,0.37
"Gragas","Top",9,"21.4%","11.9%","40.5%","67%","56%",24,19,60,4.4,"64.1%","21.1%","0%",34,171,-3.1,7,"21.2%",460,"24.0%","19.7%",0.46,0.15
"Graves","Jungle",15,"35.7%","11.9%","50.0%","40%","53%",52,35,84,3.9,"73.5%","17.4%","40%",-97,-274,-5.3,7,"22.1%",342,"19.7%","22.1%",0.29,0.41
"Graves","Top",1,"2.4%","11.9%","50.0%","0%","100%",2,2,1,1.5,"50.0%","20.0%","0%",-656,-1099,-26,6.5,"21.7%",276,"23.4%","19.0%",0.32,0.26
"Hecarim","Jungle",4,"9.5%","2.4%","11.9%","25%","75%",10,8,27,4.6,"75.5%","14.3%","25%",-140,-117,0.8,6.5,"21.3%",374,"19.2%","22.1%",0.31,0.2
"Irelia","Top",3,"7.1%","4.8%","11.9%","33%","100%",8,13,17,1.9,"64.1%","25.5%","33%",-168,-627,7.7,8,"27.0%",319,"18.9%","22.1%",0.34,0.08
"Janna","Support",1,"2.4%","0.0%","2.4%","0%","100%",3,2,5,4,"66.7%","10.0%","0%",206,-187,-8,0.8,"2.9%",190,"8.7%","11.7%",1.21,0.41
"Jax","Top",4,"9.5%","7.1%","16.7%","50%","100%",16,13,14,2.3,"55.6%","21.7%","0%",493,470,13.3,8,"26.6%",382,"24.6%","23.5%",0.45,0.16
"Jayce","Top",5,"11.9%","9.5%","21.4%","60%","100%",8,15,26,2.3,"63.0%","25.0%","0%",47,-92,5.2,8.6,"27.6%",556,"29.9%","22.6%",0.41,0.25
"Jhin","ADC",14,"33.3%","2.4%","35.7%","50%","71%",56,38,65,3.2,"68.8%","18.5%","7%",-128,79,-2.1,8.3,"27.2%",408,"21.5%","24.6%",0.42,0.26
"Kai'Sa","ADC",28,"66.7%","26.2%","92.9%","50%","11%",150,72,109,3.6,"66.2%","19.3%","21%",-104,-102,4.4,8.8,"28.2%",439,"23.2%","26.0%",0.48,0.27
"Kalista","ADC",2,"4.8%","2.4%","7.1%","50%","100%",7,3,13,6.7,"74.1%","16.7%","0%",6,74,4.5,9.7,"31.6%",422,"19.0%","26.7%",0.81,0.47
"Karma","Top",2,"4.8%","4.8%","9.5%","0%","100%",2,5,7,1.8,"64.3%","16.7%","0%",-100,-244,-10,6.9,"19.0%",318,"18.4%","19.0%",0.44,0.19
"Karthus","Jungle",1,"2.4%","0.0%","2.4%","0%","100%",2,4,3,1.3,"100.0%","16.0%","0%",-435,-443,-7,6.1,"15.2%",471,"37.0%","23.0%",0.47,0.12
"Kennen","Top",1,"2.4%","0.0%","2.4%","100%","0%",6,2,5,5.5,"47.8%","15.4%","0%",238,1039,-12,7.2,"20.5%",578,"25.4%","19.1%",0.49,0.37
"Kha'Zix","-",0,"0%","2.4%","2.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
