"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",3,"9.7%","3.2%","12.9%","0%","67%",7,12,16,1.9,"76.7%","24.5%","33%",80,333,8.3,7.6,"24.9%",376,"20.6%","23.7%",0.45,0.2
"Ahri","Middle",4,"12.9%","6.5%","19.4%","25%","100%",13,13,22,2.7,"72.9%","19.7%","25%",88,-128,2,8.1,"23.5%",489,"24.0%","23.5%",0.4,0.3
"Alistar","Support",11,"35.5%","32.3%","67.7%","55%","100%",7,37,91,2.6,"66.2%","24.2%","18%",4,66,-0.1,1,"2.0%",135,"7.5%","8.4%",1.71,0.25
"Annie","Middle",1,"3.2%","0.0%","3.2%","100%","100%",3,2,12,7.5,"83.3%","15.4%","0%",-664,-387,3,7.2,"20.0%",520,"28.3%","19.9%",0.23,0.17
"Aphelios","ADC",2,"6.5%","0.0%","6.5%","50%","100%",8,7,7,2.1,"71.4%","20.6%","0%",377,-68,11.5,9.6,"31.2%",467,"25.3%","28.6%",0.52,0.39
"Ashe","ADC",3,"9.7%","0.0%","9.7%","33%","67%",4,6,13,2.8,"63.0%","17.6%","33%",196,90,5.3,9,"25.0%",399,"24.5%","23.4%",0.41,0.33
"Azir","Middle",5,"16.1%","22.6%","38.7%","20%","100%",8,17,17,1.5,"61.0%","20.7%","20%",-277,-162,-3.2,8.7,"28.1%",514,"29.1%","23.6%",0.41,0.18
"Braum","Support",2,"6.5%","0.0%","6.5%","50%","50%",0,7,16,2.3,"72.7%","33.3%","50%",108,19,1,1.3,"2.6%",136,"7.7%","7.7%",1.72,0.46
"Camille","Top",3,"9.7%","16.1%","25.8%","67%","67%",12,15,13,1.7,"65.8%","30.0%","67%",-104,-325,-8.7,7.1,"25.5%",502,"29.0%","23.7%",0.45,0.12
"Cho'Gath","Top",2,"6.5%","0.0%","6.5%","0%","50%",3,9,7,1.1,"66.7%","27.3%","0%",-283,-220,-12.5,6.8,"23.7%",440,"22.3%","19.3%",0.56,0.25
"Ekko","-",0,"0%","12.9%","12.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ezreal","ADC",5,"16.1%","12.9%","29.0%","60%","100%",16,8,29,5.6,"71.4%","14.3%","40%",325,327,30.8,9.5,"29.0%",671,"34.6%","24.9%",0.45,0.26
"Gangplank","Top",7,"22.6%","25.8%","48.4%","57%","57%",24,17,45,4.1,"72.6%","18.7%","29%",156,-109,5.4,8.4,"27.6%",589,"29.5%","25.9%",0.48,0.12
"Gnar","Top",12,"38.7%","58.1%","96.8%","67%","17%",41,32,79,3.8,"64.9%","21.8%","42%",-4,-3,4.4,7.9,"23.5%",472,"24.2%","22.9%",0.5,0.25
"Gragas","Support",2,"6.5%","3.2%","19.4%","0%","100%",2,5,12,2.8,"73.7%","12.8%","50%",364,-206,-1,1,"1.7%",179,"11.5%","8.0%",1.69,0.23
"Gragas","Top",3,"9.7%","3.2%","19.4%","67%","67%",6,9,19,2.8,"51.0%","29.0%","33%",-41,-153,-12.7,6.7,"21.5%",340,"18.4%","18.3%",0.38,0.17
"Hecarim","Jungle",15,"48.4%","48.4%","96.8%","73%","13%",34,37,132,4.5,"73.5%","24.2%","40%",-5,-29,-2.5,6,"16.8%",231,"11.3%","17.6%",0.31,0.35
"Irelia","-",0,"0%","12.9%","12.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Jayce","Top",3,"9.7%","16.1%","25.8%","33%","100%",10,12,17,2.3,"73.0%","32.4%","33%",121,82,3.7,8.9,"28.1%",547,"32.0%","24.7%",0.45,0.35
"Jhin","ADC",1,"3.2%","0.0%","3.2%","100%","100%",8,2,6,7,"82.4%","13.3%","0%",-63,-49,-3,10,"34.4%",888,"33.0%","30.1%",0.44,0.21
"Jinx","ADC",6,"19.4%","22.6%","41.9%","33%","33%",18,15,7,1.7,"52.1%","19.2%","0%",-39,-102,20.7,9,"27.8%",389,"28.3%","25.0%",0.41,0.32
"Kai'Sa","ADC",11,"35.5%","32.3%","67.7%","73%","27%",61,21,59,5.7,"67.4%","17.1%","18%",-247,-80,-1.8,9.5,"30.8%",528,"26.2%","27.3%",0.52,0.38
"Kalista","ADC",5,"16.1%","16.1%","32.3%","20%","40%",13,16,21,2.1,"63.0%","20.5%","20%",446,184,22,9.6,"30.9%",414,"25.2%","26.0%",0.37,0.32
"Karma","Support",1,"3.2%","3.2%","9.7%","100%","100%",0,0,9,9,"69.2%","0.0%","100%",-864,-287,-74,0.6,"2.7%",298,"10.3%","8.1%",1.75,0.29
"Karma","Top",1,"3.2%","3.2%","9.7%","0%","100%",1,2,7,4,"88.9%","14.3%","100%",608,520,3,6.5,"16.3%",305,"17.4%","18.2%",0.56,0.23
"Leona","Support",4,"12.9%","6.5%","19.4%","75%","50%",4,11,36,3.6,"61.5%","23.4%","50%",-102,144,-11.8,1.2,"2.9%",84,"4.5%","8.2%",1.46,0.5
"Lillia","Jungle",9,"29.0%","19.4%","48.4%","33%","89%",19,20,61,4,"70.2%","16.9%","22%",80,138,5,6.7,"19.0%",395,"21.0%","18.7%",0.48,0.3
"Lucian","Middle",4,"12.9%","32.3%","45.2%","25%","0%",10,12,12,1.8,"61.1%","19.4%","50%",423,181,4,10,"31.9%",462,"25.6%","27.8%",0.45,0.29
"Malphite","Top",1,"3.2%","6.5%","9.7%","100%","100%",2,4,14,4,"80.0%","40.0%","100%",258,415,-19,6.6,"18.3%",523,"22.9%","18.1%",0.39,0.1
"Miss Fortune","ADC",1,"3.2%","0.0%","3.2%","0%","0%",6,2,4,5,"66.7%","11.8%","0%",63,49,3,9.5,"30.4%",564,"28.3%","27.8%",0.41,0.37
"Nautilus","Support",5,"16.1%","19.4%","35.5%","60%","80%",4,14,51,3.9,"75.3%","22.6%","0%",-161,-115,0.4,1.1,"2.2%",128,"7.3%","8.8%",1.31,0.36
"Neeko","Middle",2,"6.5%","0.0%","6.5%","50%","100%",9,6,21,5,"73.2%","27.3%","0%",398,494,15.5,7.5,"21.1%",466,"22.0%","21.2%",0.28,0.36
"Nidalee","Jungle",9,"29.0%","38.7%","67.7%","56%","56%",26,18,52,4.3,"74.3%","18.2%","44%",34,6,0,6.6,"18.9%",295,"18.5%","20.2%",0.31,0.56
"Nocturne","Jungle",2,"6.5%","16.1%","32.3%","50%","50%",5,7,14,2.7,"70.4%","25.9%","50%",113,-361,-4,5.5,"14.7%",275,"15.3%","17.3%",0.46,0.23
"Nocturne","Top",3,"9.7%","16.1%","32.3%","100%","33%",10,6,25,5.8,"72.9%","25.0%","0%",9,1,2,7.8,"25.4%",432,"19.2%","22.3%",0.45,0.1
"Olaf","Jungle",3,"9.7%","29.0%","38.7%","33%","100%",4,7,18,3.1,"56.4%","18.9%","0%",-221,-164,0.3,6.5,"19.1%",278,"15.5%","17.8%",0.35,0.27
