"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",3,"12.5%","0.0%","12.5%","67%","-",13,7,23,5.1,"57.1%","14.3%","-","-","-","-","-","-","-","-","21.8%","-","-"
"Blitzcrank","Support",1,"4.2%","0.0%","4.2%","100%","-",1,1,8,9,"64.3%","20.0%","-","-","-","-","-","-","-","-","12.0%","-","-"
"Caitlyn","ADC",4,"16.7%","0.0%","16.7%","25%","-",10,10,16,2.6,"65.0%","18.2%","-","-","-","-","-","-","-","-","27.1%","-","-"
"Corki","ADC",1,"4.2%","0.0%","4.2%","100%","-",14,2,10,12,"85.7%","9.5%","-","-","-","-","-","-","-","-","39.1%","-","-"
"Diana","Middle",3,"12.5%","20.8%","37.5%","33%","-",10,9,16,2.9,"74.3%","20.5%","-","-","-","-","-","-","-","-","27.3%","-","-"
"Diana","Top",1,"4.2%","20.8%","37.5%","100%","-",4,3,2,2,"42.9%","60.0%","-","-","-","-","-","-","-","-","23.6%","-","-"
"Draven","ADC",2,"8.3%","29.2%","37.5%","50%","-",12,10,14,2.6,"66.7%","20.8%","-","-","-","-","-","-","-","-","26.4%","-","-"
"Elise","Jungle",3,"12.5%","37.5%","75.0%","100%","-",6,2,14,10,"43.5%","15.4%","-","-","-","-","-","-","-","-","15.3%","-","-"
"Elise","Top",6,"25.0%","37.5%","75.0%","50%","-",22,17,32,3.2,"59.3%","19.3%","-","-","-","-","-","-","-","-","20.6%","-","-"
"Evelynn","Middle",1,"4.2%","12.5%","16.7%","100%","-",11,1,12,23,"92.0%","11.1%","-","-","-","-","-","-","-","-","28.0%","-","-"
"Ezreal","ADC",14,"58.3%","12.5%","75.0%","57%","-",60,18,93,8.5,"73.9%","11.0%","-","-","-","-","-","-","-","-","27.4%","-","-"
"Ezreal","Jungle",1,"4.2%","12.5%","75.0%","100%","-",2,1,4,6,"75.0%","20.0%","-","-","-","-","-","-","-","-","20.9%","-","-"
"Fiddlesticks","Support",2,"8.3%","0.0%","8.3%","0%","-",0,4,5,1.3,"100.0%","14.8%","-","-","-","-","-","-","-","-","7.6%","-","-"
"Gragas","Middle",1,"4.2%","37.5%","41.7%","0%","-",0,2,1,0.5,"100.0%","16.7%","-","-","-","-","-","-","-","-","26.9%","-","-"
"Graves","ADC",2,"8.3%","0.0%","8.3%","50%","-",8,7,13,3,"67.7%","23.3%","-","-","-","-","-","-","-","-","24.9%","-","-"
"Hecarim","Jungle",6,"25.0%","12.5%","37.5%","33%","-",11,29,51,2.1,"75.6%","23.0%","-","-","-","-","-","-","-","-","16.6%","-","-"
"Janna","Middle",1,"4.2%","4.2%","20.8%","100%","-",0,1,4,4,"50.0%","20.0%","-","-","-","-","-","-","-","-","24.0%","-","-"
"Janna","Support",3,"12.5%","4.2%","20.8%","33%","-",0,8,16,2,"72.7%","28.6%","-","-","-","-","-","-","-","-","10.3%","-","-"
"Jarvan IV","Jungle",4,"16.7%","25.0%","41.7%","25%","-",5,19,32,1.9,"82.2%","23.8%","-","-","-","-","-","-","-","-","13.4%","-","-"
"Jayce","ADC",2,"8.3%","4.2%","37.5%","100%","-",8,2,18,13,"74.3%","28.6%","-","-","-","-","-","-","-","-","23.3%","-","-"
"Jayce","Middle",3,"12.5%","4.2%","37.5%","33%","-",9,8,11,2.5,"66.7%","18.2%","-","-","-","-","-","-","-","-","25.8%","-","-"
"Jayce","Top",3,"12.5%","4.2%","37.5%","67%","-",14,11,17,2.8,"58.5%","30.6%","-","-","-","-","-","-","-","-","22.7%","-","-"
"Karthus","Middle",5,"20.8%","12.5%","33.3%","40%","-",30,22,52,3.7,"87.2%","23.9%","-","-","-","-","-","-","-","-","28.2%","-","-"
"Kayle","Support",1,"4.2%","12.5%","16.7%","100%","-",1,7,19,2.9,"62.5%","24.1%","-","-","-","-","-","-","-","-","12.2%","-","-"
"Kennen","Top",5,"20.8%","0.0%","20.8%","40%","-",15,15,51,4.4,"68.8%","17.9%","-","-","-","-","-","-","-","-","19.8%","-","-"
"Kha'Zix","Middle",4,"16.7%","4.2%","20.8%","75%","-",18,7,16,4.9,"60.7%","19.4%","-","-","-","-","-","-","-","-","26.5%","-","-"
"Kog'Maw","ADC",1,"4.2%","0.0%","4.2%","0%","-",3,2,0,1.5,"42.9%","11.8%","-","-","-","-","-","-","-","-","36.8%","-","-"
"Lulu","Support",5,"20.8%","0.0%","20.8%","0%","-",1,18,27,1.6,"68.3%","20.5%","-","-","-","-","-","-","-","-","9.7%","-","-"
"Lux","Middle",6,"25.0%","12.5%","37.5%","50%","-",23,21,57,3.8,"76.2%","17.8%","-","-","-","-","-","-","-","-","20.9%","-","-"
"Malphite","Top",3,"12.5%","37.5%","50.0%","33%","-",7,12,23,2.5,"73.2%","20.0%","-","-","-","-","-","-","-","-","18.6%","-","-"
"Miss Fortune","ADC",1,"4.2%","0.0%","4.2%","0%","-",5,6,3,1.3,"88.9%","21.4%","-","-","-","-","-","-","-","-","33.6%","-","-"
"Nasus","Jungle",8,"33.3%","8.3%","41.7%","50%","-",15,27,79,3.5,"68.6%","18.5%","-","-","-","-","-","-","-","-","15.1%","-","-"
"Nautilus","Jungle",2,"8.3%","0.0%","8.3%","50%","-",6,5,13,3.8,"61.3%","22.7%","-","-","-","-","-","-","-","-","14.8%","-","-"
"Nidalee","Top",1,"4.2%","8.3%","12.5%","100%","-",3,0,5,8,"50.0%","0.0%","-","-","-","-","-","-","-","-","22.8%","-","-"
"Nocturne","Jungle",3,"12.5%","8.3%","20.8%","67%","-",11,10,35,4.6,"74.2%","23.8%","-","-","-","-","-","-","-","-","16.3%","-","-"
"Nunu & Willump","Support",1,"4.2%","0.0%","4.2%","0%","-",0,6,2,0.3,"28.6%","35.3%","-","-","-","-","-","-","-","-","7.9%","-","-"
"Orianna","Middle",4,"16.7%","0.0%","16.7%","25%","-",7,15,30,2.5,"78.7%","22.4%","-","-","-","-","-","-","-","-","22.2%","-","-"
"Rammus","Jungle",3,"12.5%","12.5%","25.0%","33%","-",4,8,17,2.6,"72.4%","22.2%","-","-","-","-","-","-","-","-","16.3%","-","-"
"Renekton","Top",5,"20.8%","25.0%","45.8%","100%","-",27,16,57,5.3,"73.7%","19.5%","-","-","-","-","-","-","-","-","21.5%","-","-"
"Riven","Top",2,"8.3%","0.0%","8.3%","50%","-",3,10,7,1,"33.3%","28.6%","-","-","-","-","-","-","-","-","18.9%","-","-"
