"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",1,"5.6%","0.0%","5.6%","0%","-",4,2,6,5,"90.9%","10.0%","0%",-137,321,0,7,"32.0%",435,"29.6%","26.2%",0.11,0.09
"Akali","Middle",1,"5.6%","0.0%","5.6%","0%","-",2,4,9,2.8,"91.7%","21.1%","0%",133,313,-9,6.8,"22.0%",244,"13.3%","20.6%",0.05,0.17
"Alistar","Support",1,"5.6%","0.0%","5.6%","0%","-",0,3,2,0.7,"50.0%","21.4%","0%",325,122,0,1,"4.7%",74,"5.4%","9.4%",0.59,0.04
"Annie","Support",2,"11.1%","16.7%","27.8%","50%","-",3,8,6,1.1,"75.0%","36.4%","100%",212,-440,-7.5,0.5,"2.2%",165,"12.4%","13.6%",1,0.09
"Caitlyn","ADC",5,"27.8%","0.0%","27.8%","20%","-",15,10,21,3.6,"69.2%","13.5%","0%",37,-149,-0.8,7.6,"30.6%",586,"31.3%","25.0%",0.27,0.15
"Corki","ADC",5,"27.8%","0.0%","27.8%","20%","-",9,13,12,1.6,"60.0%","18.6%","0%",-17,-15,2.8,8,"28.7%",466,"27.8%","25.7%",0.2,0.09
"Dr. Mundo","Top",6,"33.3%","27.8%","61.1%","33%","-",11,14,37,3.4,"80.0%","21.2%","0%",-339,-350,-6.7,6.3,"25.3%",402,"26.0%","21.3%",0.31,0.05
"Draven","ADC",1,"5.6%","0.0%","5.6%","0%","-",1,0,0,1,"50.0%","0.0%","0%",-65,141,-3,8.5,"31.6%",265,"27.2%","30.5%",0.24,0.14
"Elise","Jungle",11,"61.1%","5.6%","66.7%","73%","-",35,18,80,6.4,"73.7%","17.5%","55%",-1,-133,-1.1,3.4,"11.6%",208,"10.7%","16.9%",0.44,0.17
"Evelynn","Jungle",3,"16.7%","5.6%","22.2%","33%","-",3,11,14,1.5,"58.6%","26.2%","0%",-97,-88,-3.3,3.3,"10.5%",238,"12.6%","15.4%",0.51,0.08
"Ezreal","ADC",2,"11.1%","0.0%","11.1%","0%","-",0,1,6,6,"54.5%","5.0%","0%",-448,-440,-20.5,6.3,"28.0%",472,"27.3%","22.2%",0.35,0.19
"Graves","ADC",7,"38.9%","0.0%","38.9%","29%","-",18,18,29,2.6,"73.4%","18.4%","14%",87,331,3.3,8.2,"31.2%",433,"24.5%","25.5%",0.25,0.1
"Irelia","Top",4,"22.2%","0.0%","22.2%","25%","-",12,12,15,2.3,"61.4%","24.0%","50%",95,225,7,5.7,"23.3%",364,"20.3%","21.7%",0.33,0.09
