"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Jungle",1,"4.0%","0.0%","4.0%","100%","-",2,1,8,10,"55.6%","100.0%","-","-","-","-","-","-","-","-","-","-","-"
"Ahri","Middle",7,"28.0%","0.0%","28.0%","86%","-",35,16,37,4.5,"58.5%","25.4%","-","-","-","-","-","-","-","-","26.4%","-","-"
"Alistar","Support",1,"4.0%","0.0%","4.0%","100%","-",2,7,21,3.3,"79.3%","24.1%","-","-","-","-","-","-","-","-","-","-","-"
"Annie","Support",10,"40.0%","40.0%","80.0%","40%","-",9,36,52,1.7,"46.6%","24.2%","-","-","-","-","-","-","-","-","9.4%","-","-"
"Brand","Middle",1,"4.0%","0.0%","4.0%","0%","-",1,2,4,2.5,"83.3%","9.5%","-","-","-","-","-","-","-","-","-","-","-"
"Caitlyn","ADC",10,"40.0%","4.0%","44.0%","40%","-",38,33,63,3.1,"60.5%","19.3%","-","-","-","-","-","-","-","-","30.8%","-","-"
"Corki","ADC",2,"8.0%","0.0%","8.0%","50%","-",14,6,4,3,"78.3%","14.6%","-","-","-","-","-","-","-","-","-","-","-"
"Darius","-",0,"0%","4.0%","4.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Dr. Mundo","Jungle",1,"4.0%","0.0%","12.0%","100%","-",1,1,10,11,"78.6%","16.7%","-","-","-","-","-","-","-","-","-","-","-"
"Dr. Mundo","Top",2,"8.0%","0.0%","12.0%","0%","-",14,14,18,2.3,"71.1%","24.1%","-","-","-","-","-","-","-","-","-","-","-"
"Elise","Jungle",8,"32.0%","48.0%","92.0%","75%","-",22,23,51,3.2,"58.4%","23.2%","-","-","-","-","-","-","-","-","17.2%","-","-"
"Elise","Top",3,"12.0%","48.0%","92.0%","67%","-",15,11,23,3.5,"53.5%","23.9%","-","-","-","-","-","-","-","-","-","-","-"
"Ezreal","ADC",1,"4.0%","0.0%","8.0%","0%","-",6,2,5,5.5,"68.8%","13.3%","-","-","-","-","-","-","-","-","-","-","-"
"Ezreal","Middle",1,"4.0%","0.0%","8.0%","0%","-",6,10,11,1.7,"41.5%","25.6%","-","-","-","-","-","-","-","-","-","-","-"
"Fiddlesticks","Jungle",1,"4.0%","20.0%","64.0%","0%","-",4,6,3,1.2,"77.8%","18.8%","-","-","-","-","-","-","-","-","-","-","-"
"Fiddlesticks","Support",10,"40.0%","20.0%","64.0%","60%","-",18,52,115,2.6,"57.8%","26.4%","-","-","-","-","-","-","-","-","8.2%","-","-"
"Fizz","Middle",1,"4.0%","0.0%","4.0%","0%","-",1,1,1,2,"33.3%","6.3%","-","-","-","-","-","-","-","-","-","-","-"
"Gragas","Middle",7,"28.0%","20.0%","48.0%","43%","-",23,17,34,3.4,"61.3%","13.4%","-","-","-","-","-","-","-","-","28.8%","-","-"
"Graves","ADC",3,"12.0%","0.0%","12.0%","67%","-",19,10,24,4.3,"75.4%","21.7%","-","-","-","-","-","-","-","-","-","-","-"
"Janna","Support",1,"4.0%","0.0%","4.0%","100%","-",0,1,12,12,"54.5%","8.3%","-","-","-","-","-","-","-","-","-","-","-"
"Jarvan IV","Jungle",6,"24.0%","4.0%","28.0%","33%","-",11,19,56,3.5,"81.7%","17.9%","-","-","-","-","-","-","-","-","14.7%","-","-"
"Jax","Top",3,"12.0%","8.0%","20.0%","33%","-",10,14,15,1.8,"49.0%","24.6%","-","-","-","-","-","-","-","-","-","-","-"
"Jayce","Top",2,"8.0%","4.0%","12.0%","0%","-",7,10,16,2.3,"76.7%","23.3%","-","-","-","-","-","-","-","-","-","-","-"
"Jinx","ADC",4,"16.0%","28.0%","44.0%","100%","-",39,22,33,3.3,"58.5%","22.9%","-","-","-","-","-","-","-","-","-","-","-"
"Kassadin","Middle",3,"12.0%","68.0%","84.0%","100%","-",29,8,27,7,"69.1%","17.4%","-","-","-","-","-","-","-","-","-","-","-"
"Kassadin","Top",1,"4.0%","68.0%","84.0%","0%","-",2,3,8,3.3,"62.5%","20.0%","-","-","-","-","-","-","-","-","-","-","-"
"Kayle","Middle",1,"4.0%","0.0%","4.0%","0%","-",2,5,4,1.2,"66.7%","35.7%","-","-","-","-","-","-","-","-","27.0%","-","-"
"Kennen","Top",3,"12.0%","0.0%","12.0%","67%","-",12,4,19,7.8,"63.3%","16.0%","-","-","-","-","-","-","-","-","-","-","-"
"Kha'Zix","Middle",3,"12.0%","0.0%","12.0%","0%","-",24,16,15,2.4,"76.5%","20.8%","-","-","-","-","-","-","-","-","-","-","-"
"LeBlanc","Middle",2,"8.0%","4.0%","12.0%","0%","-",8,16,11,1.2,"54.3%","26.7%","-","-","-","-","-","-","-","-","-","-","-"
"Lee Sin","Jungle",7,"28.0%","24.0%","52.0%","57%","-",20,25,46,2.6,"54.1%","19.2%","-","-","-","-","-","-","-","-","16.2%","-","-"
"Lissandra","Middle",1,"4.0%","8.0%","20.0%","0%","-",3,2,0,1.5,"60.0%","14.3%","-","-","-","-","-","-","-","-","-","-","-"
"Lissandra","Top",2,"8.0%","8.0%","20.0%","50%","-",4,9,18,2.4,"51.2%","20.0%","-","-","-","-","-","-","-","-","-","-","-"
"Lucian","ADC",17,"68.0%","28.0%","96.0%","47%","-",78,55,103,3.3,"62.2%","17.9%","-","-","-","-","-","-","-","-","23.8%","-","-"
"Lulu","Support",5,"20.0%","0.0%","20.0%","60%","-",5,19,50,2.9,"58.5%","20.7%","-","-","-","-","-","-","-","-","4.4%","-","-"
"Lux","Middle",1,"4.0%","0.0%","4.0%","0%","-",8,3,9,5.7,"73.9%","13.6%","-","-","-","-","-","-","-","-","-","-","-"
"Malphite","Top",1,"4.0%","0.0%","4.0%","0%","-",7,6,9,2.7,"55.2%","20.7%","-","-","-","-","-","-","-","-","-","-","-"
"Mordekaiser","Middle",1,"4.0%","0.0%","4.0%","100%","-",3,2,8,5.5,"73.3%","12.5%","-","-","-","-","-","-","-","-","-","-","-"
"Morgana","Middle",2,"8.0%","12.0%","20.0%","50%","-",5,9,21,2.9,"65.0%","23.7%","-","-","-","-","-","-","-","-","-","-","-"
"Nami","Support",2,"8.0%","0.0%","8.0%","0%","-",1,10,10,1.1,"68.8%","18.9%","-","-","-","-","-","-","-","-","-","-","-"
"Nasus","Jungle",1,"4.0%","0.0%","20.0%","0%","-",0,8,10,1.3,"50.0%","20.5%","-","-","-","-","-","-","-","-","-","-","-"
"Nasus","Middle",1,"4.0%","0.0%","20.0%","0%","-",5,3,5,3.3,"62.5%","20.0%","-","-","-","-","-","-","-","-","-","-","-"
"Nasus","Top",3,"12.0%","0.0%","20.0%","67%","-",12,13,19,2.4,"58.5%","23.6%","-","-","-","-","-","-","-","-","26.4%","-","-"
"Nautilus","Jungle",1,"4.0%","0.0%","4.0%","100%","-",3,3,12,5,"71.4%","37.5%","-","-","-","-","-","-","-","-","-","-","-"
"Nidalee","Middle",2,"8.0%","88.0%","96.0%","100%","-",9,2,20,14.5,"70.7%","13.3%","-","-","-","-","-","-","-","-","-","-","-"
"Nocturne","Jungle",3,"12.0%","0.0%","12.0%","33%","-",3,13,31,2.6,"51.5%","23.2%","-","-","-","-","-","-","-","-","-","-","-"
