"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","-",0,"0%","57.1%","57.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Akali","Top",1,"14.3%","14.3%","28.6%","100%","-",8,4,5,3.3,"56.5%","36.4%","-","-","-","-","-","-","-","-","-","-","-"
"Amumu","Jungle",1,"14.3%","0.0%","14.3%","0%","-",1,7,5,0.9,"60.0%","29.2%","-","-","-","-","-","-","-","-","-","-","-"
"Blitzcrank","Support",1,"14.3%","14.3%","28.6%","100%","-",1,1,11,12,"60.0%","14.3%","-","-","-","-","-","-","-","-","-","-","-"
"Caitlyn","ADC",7,"100.0%","0.0%","100.0%","43%","-",33,14,35,4.9,"62.4%","11.6%","-","-","-","-","-","-","-","-","-","-","-"
"Elise","Jungle",2,"28.6%","42.9%","85.7%","100%","-",10,8,20,3.8,"61.2%","18.2%","-","-","-","-","-","-","-","-","-","-","-"
"Elise","Middle",1,"14.3%","42.9%","85.7%","100%","-",4,2,10,7,"60.9%","18.2%","-","-","-","-","-","-","-","-","-","-","-"
"Ezreal","ADC",1,"14.3%","0.0%","28.6%","0%","-",1,5,4,1,"50.0%","20.8%","-","-","-","-","-","-","-","-","-","-","-"
"Ezreal","Middle",1,"14.3%","0.0%","28.6%","100%","-",3,2,3,3,"37.5%","22.2%","-","-","-","-","-","-","-","-","-","-","-"
"Fiddlesticks","Support",2,"28.6%","0.0%","28.6%","50%","-",0,10,12,1.2,"42.9%","34.5%","-","-","-","-","-","-","-","-","-","-","-"
"Gragas","-",0,"0%","28.6%","28.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Irelia","Top",1,"14.3%","0.0%","14.3%","100%","-",4,3,10,4.7,"66.7%","15.8%","-","-","-","-","-","-","-","-","-","-","-"
"Jarvan IV","Jungle",4,"57.1%","0.0%","57.1%","25%","-",6,11,41,4.3,"78.3%","14.5%","-","-","-","-","-","-","-","-","-","-","-"
"Karthus","Middle",3,"42.9%","14.3%","57.1%","33%","-",15,14,24,2.8,"72.2%","26.9%","-","-","-","-","-","-","-","-","-","-","-"
"Kassadin","Middle",1,"14.3%","85.7%","100.0%","100%","-",8,0,3,11,"73.3%","0.0%","-","-","-","-","-","-","-","-","-","-","-"
"Kayle","Middle",1,"14.3%","28.6%","42.9%","100%","-",7,3,9,5.3,"76.2%","15.8%","-","-","-","-","-","-","-","-","-","-","-"
"Kennen","Middle",2,"28.6%","0.0%","28.6%","0%","-",1,8,3,0.5,"36.4%","22.9%","-","-","-","-","-","-","-","-","-","-","-"
"Kha'Zix","Top",1,"14.3%","0.0%","14.3%","0%","-",3,5,3,1.2,"31.6%","23.8%","-","-","-","-","-","-","-","-","-","-","-"
"Lee Sin","Jungle",1,"14.3%","0.0%","14.3%","0%","-",3,3,1,1.3,"100.0%","20.0%","-","-","-","-","-","-","-","-","-","-","-"
"Lulu","Support",2,"28.6%","57.1%","85.7%","50%","-",2,4,15,4.3,"63.0%","15.4%","-","-","-","-","-","-","-","-","-","-","-"
"Nami","Support",1,"14.3%","0.0%","14.3%","0%","-",1,6,9,1.7,"52.6%","28.6%","-","-","-","-","-","-","-","-","-","-","-"
"Nasus","Jungle",3,"42.9%","28.6%","71.4%","67%","-",7,4,34,10.3,"71.9%","11.1%","-","-","-","-","-","-","-","-","-","-","-"
"Orianna","Middle",2,"28.6%","0.0%","28.6%","100%","-",10,7,21,4.4,"66.0%","18.9%","-","-","-","-","-","-","-","-","-","-","-"
"Renekton","Top",1,"14.3%","57.1%","71.4%","100%","-",3,0,4,7,"46.7%","0.0%","-","-","-","-","-","-","-","-","-","-","-"
"Rumble","Top",2,"28.6%","42.9%","71.4%","100%","-",13,9,20,3.7,"75.0%","26.5%","-","-","-","-","-","-","-","-","-","-","-"
"Shen","Middle",1,"14.3%","0.0%","42.9%","0%","-",1,2,6,3.5,"58.3%","10.5%","-","-","-","-","-","-","-","-","-","-","-"
"Shen","Top",2,"28.6%","0.0%","42.9%","0%","-",6,8,18,3,"70.6%","17.8%","-","-","-","-","-","-","-","-","-","-","-"
"Sona","Support",1,"14.3%","0.0%","14.3%","0%","-",0,5,5,1,"71.4%","25.0%","-","-","-","-","-","-","-","-","-","-","-"
"Swain","Top",1,"14.3%","0.0%","14.3%","0%","-",7,3,2,3,"75.0%","15.8%","-","-","-","-","-","-","-","-","-","-","-"
"Talon","Top",1,"14.3%","0.0%","14.3%","0%","-",1,6,2,0.5,"75.0%","40.0%","-","-","-","-","-","-","-","-","-","-","-"
"Thresh","Support",5,"71.4%","14.3%","85.7%","40%","-",4,27,45,1.8,"58.3%","27.3%","-","-","-","-","-","-","-","-","-","-","-"
"Tristana","ADC",2,"28.6%","0.0%","28.6%","100%","-",10,6,10,3.3,"55.6%","26.1%","-","-","-","-","-","-","-","-","-","-","-"
"Twisted Fate","-",0,"0%","28.6%","28.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Twitch","ADC",2,"28.6%","0.0%","28.6%","50%","-",20,3,11,10.3,"68.9%","8.6%","-","-","-","-","-","-","-","-","-","-","-"
"Vayne","ADC",2,"28.6%","0.0%","28.6%","50%","-",9,7,6,2.1,"53.6%","25.0%","-","-","-","-","-","-","-","-","-","-","-"
"Vladimir","-",0,"0%","42.9%","42.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Xin Zhao","Jungle",3,"42.9%","0.0%","42.9%","67%","-",6,7,21,3.9,"56.3%","19.4%","-","-","-","-","-","-","-","-","-","-","-"
"Zac","Top",3,"42.9%","28.6%","71.4%","67%","-",8,5,21,5.8,"59.2%","11.6%","-","-","-","-","-","-","-","-","-","-","-"
"Zed","Middle",1,"14.3%","0.0%","28.6%","0%","-",5,4,1,1.5,"60.0%","16.7%","-","-","-","-","-","-","-","-","-","-","-"
"Zed","Top",1,"14.3%","0.0%","28.6%","0%","-",3,4,2,1.3,"71.4%","20.0%","-","-","-","-","-","-","-","-","-","-","-"
"Zyra","Middle",1,"14.3%","14.3%","57.1%","0%","-",3,6,11,2.3,"73.7%","28.6%","-","-","-","-","-","-","-","-","-","-","-"
