"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",2,"1.8%","0.0%","1.8%","0%","-",7,5,8,3,"55.6%","14.7%","0%",-371,24,-8.5,6.9,"26.1%",454,"23.3%","22.5%",0.16,0.08
"Alistar","Support",4,"3.6%","0.9%","4.5%","50%","-",0,13,35,2.7,"85.4%","24.5%","0%",-56,64,0.5,1,"4.3%",89,"5.5%","11.0%",1.01,0.22
"Annie","Middle",1,"0.9%","0.9%","2.7%","100%","-",5,4,8,3.3,"76.5%","33.3%","0%",255,168,0,5.2,"16.7%",451,"29.7%","18.8%",0.39,0.16
"Annie","Support",1,"0.9%","0.9%","2.7%","0%","-",0,1,4,4,"80.0%","9.1%","0%",101,85,0,0.4,"1.7%",131,"10.4%","10.5%",1.53,0.21
"Braum","Support",46,"41.1%","24.1%","65.2%","63%","-",30,119,430,3.9,"73.7%","23.8%","28%",-58,-8,6.5,1.2,"4.3%",145,"8.5%","11.2%",1.06,0.2
"Caitlyn","ADC",11,"9.8%","0.9%","10.7%","64%","-",36,13,51,6.7,"76.3%","12.4%","9%",43,164,3.5,9.2,"31.0%",613,"32.8%","25.8%",0.17,0.14
"Corki","ADC",34,"30.4%","1.8%","32.1%","41%","-",126,61,143,4.4,"71.5%","13.8%","12%",-47,-41,-0.5,8.6,"31.1%",565,"31.8%","25.8%",0.22,0.12
"Dr. Mundo","Top",17,"15.2%","0.0%","15.2%","41%","-",23,47,79,2.2,"60.0%","18.7%","12%",-154,70,-2.2,6.4,"23.0%",362,"21.8%","20.4%",0.45,0.06
"Draven","ADC",1,"0.9%","0.0%","0.9%","100%","-",4,3,3,2.3,"43.8%","20.0%","0%",1084,642,10,9.3,"32.8%",325,"23.1%","28.6%",0.28,0.21
"Elise","Jungle",77,"68.8%","25.0%","93.8%","57%","-",141,167,471,3.7,"67.2%","18.7%","34%",20,-49,-0.6,3.1,"10.1%",201,"11.4%","15.6%",0.63,0.29
"Evelynn","Jungle",33,"29.5%","25.0%","54.5%","48%","-",71,87,234,3.5,"70.1%","22.0%","52%",103,183,2,3.3,"10.3%",256,"14.0%","16.0%",0.52,0.13
"Ezreal","ADC",4,"3.6%","0.0%","3.6%","50%","-",17,5,22,7.8,"83.0%","12.2%","50%",315,-36,8.8,7.8,"26.3%",647,"32.0%","24.8%",0.2,0.1
"Fizz","Middle",2,"1.8%","0.9%","2.7%","0%","-",5,14,3,0.6,"80.0%","35.0%","50%",-428,-677,-18,5.7,"17.5%",225,"19.2%","22.3%",0.35,0.22
