"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",25,"27.2%","18.5%","45.7%","48%","-",104,61,135,3.9,"73.8%","19.6%","28%",34,87,0.6,8,"29.3%",485,"31.3%","24.8%",0.23,0.18
"Alistar","Support",4,"4.3%","0.0%","4.3%","25%","-",2,8,26,3.5,"71.8%","13.3%","25%",-68,199,3.3,0.9,"3.2%",81,"5.9%","9.1%",1.13,0.12
"Annie","Support",25,"27.2%","29.3%","56.5%","60%","-",38,84,202,2.9,"66.7%","25.8%","32%",-15,-82,-1.3,0.6,"2.6%",162,"10.5%","10.7%",1.13,0.24
"Azir","Middle",8,"8.7%","5.4%","14.1%","38%","-",23,33,33,1.7,"74.7%","25.6%","13%",-215,149,-4,7.6,"28.7%",496,"32.0%","24.7%",0.19,0.2
"Blitzcrank","Support",3,"3.3%","1.1%","4.3%","33%","-",3,10,14,1.7,"65.4%","24.4%","33%",-196,-264,7,0.9,"4.0%",137,"11.5%","10.1%",0.97,0.15
"Braum","Support",9,"9.8%","0.0%","9.8%","44%","-",3,24,76,3.3,"83.2%","19.5%","11%",-95,188,5.6,1.3,"5.3%",151,"9.1%","10.8%",1.05,0.21
"Caitlyn","ADC",6,"6.5%","0.0%","6.5%","50%","-",19,11,45,5.8,"73.6%","16.2%","33%",83,-22,2.3,8.4,"33.5%",493,"29.4%","26.7%",0.12,0.27
"Cassiopeia","Middle",5,"5.4%","4.3%","9.8%","20%","-",12,11,20,2.9,"71.1%","15.1%","0%",52,99,-3,8.1,"28.7%",370,"29.1%","25.5%",0.26,0.12
"Cho'Gath","Middle",3,"3.3%","0.0%","3.3%","33%","-",10,5,16,5.2,"74.3%","12.2%","0%",-1,12,0,8.7,"31.4%",513,"28.5%","25.9%",0.26,0.13
"Corki","ADC",33,"35.9%","4.3%","46.7%","42%","-",121,68,158,4.1,"71.9%","15.0%","12%",-71,-15,-1.9,8.3,"31.3%",509,"31.5%","26.4%",0.14,0.16
"Corki","Middle",6,"6.5%","4.3%","46.7%","50%","-",26,18,35,3.4,"66.3%","17.8%","17%",153,8,10.7,8.3,"29.2%",658,"32.4%","25.0%",0.3,0.27
"Diana","Middle",1,"1.1%","0.0%","1.1%","0%","-",2,3,2,1.3,"66.7%","14.3%","0%",-323,-794,-31,8,"31.9%",243,"19.0%","27.2%",0.18,0.06
"Dr. Mundo","Top",4,"4.3%","0.0%","4.3%","0%","-",3,16,3,0.4,"28.6%","25.0%","25%",-179,-63,-8.5,6.1,"21.8%",436,"27.1%","18.7%",0.35,0.05
"Draven","ADC",2,"2.2%","0.0%","2.2%","50%","-",7,2,5,6,"80.0%","8.3%","50%",217,77,4,8.2,"30.5%",435,"33.6%","31.2%",0.19,0.07
"Elise","Jungle",1,"1.1%","0.0%","1.1%","0%","-",1,2,6,3.5,"77.8%","12.5%","0%",324,321,7,3.5,"12.0%",126,"9.6%","19.6%",0.89,0.35
"Ezreal","ADC",2,"2.2%","0.0%","12.0%","0%","-",3,4,2,1.3,"55.6%","16.7%","0%",44,113,3,8.2,"30.8%",514,"35.4%","28.1%",0.09,0.15
"Ezreal","Middle",9,"9.8%","0.0%","12.0%","33%","-",35,25,47,3.3,"75.9%","17.6%","11%",102,-64,2.4,8.4,"30.4%",605,"34.9%","26.2%",0.16,0.21
"Fiddlesticks","Jungle",1,"1.1%","0.0%","1.1%","0%","-",1,3,2,1,"60.0%","15.8%","0%",-107,-361,-3,2.3,"9.4%",97,"7.2%","15.1%",0.32,0.24
"Fizz","Middle",3,"3.3%","4.3%","9.8%","67%","-",12,6,16,4.7,"63.6%","21.4%","33%",108,-308,7.7,7,"23.4%",269,"17.0%","21.1%",0.4,0.18
"Fizz","Top",2,"2.2%","4.3%","9.8%","50%","-",11,6,5,2.7,"64.0%","28.6%","50%",379,504,6.5,6.7,"25.0%",372,"22.2%","23.6%",0.52,0.15
"Gnar","Top",21,"22.8%","9.8%","32.6%","24%","-",33,60,97,2.2,"68.8%","20.1%","10%",-78,-187,0.9,6.3,"24.2%",362,"24.8%","21.2%",0.35,0.14
