"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",5,"11.9%","21.4%","33.3%","60%","-",28,15,44,4.8,"76.6%","18.5%","40%",185,277,8.4,7.9,"28.5%",502,"26.7%","25.5%",0.3,0.2
"Alistar","Support",2,"4.8%","0.0%","4.8%","0%","-",0,12,4,0.3,"33.3%","25.0%","0%",-147,-544,1.5,0.7,"3.4%",70,"4.8%","7.5%",1.02,0.24
"Azir","Middle",3,"7.1%","9.5%","16.7%","100%","-",11,10,19,3,"65.2%","27.0%","0%",-84,374,-0.3,7.2,"30.1%",713,"34.7%","23.6%",0.23,0.26
"Blitzcrank","Support",1,"2.4%","0.0%","2.4%","100%","-",2,4,23,6.3,"83.3%","16.7%","100%",-74,-516,-2,1.1,"4.5%",221,"8.9%","11.7%",1.09,0.16
"Braum","Support",6,"14.3%","0.0%","14.3%","50%","-",5,28,83,3.1,"73.3%","23.0%","67%",55,79,8.3,1.1,"4.4%",186,"9.2%","12.6%",1.09,0.16
"Caitlyn","ADC",5,"11.9%","0.0%","11.9%","40%","-",19,26,23,1.6,"60.0%","21.8%","0%",7,-44,-0.3,7.5,"28.5%",586,"31.2%","26.0%",0.07,0.13
"Corki","ADC",24,"57.1%","16.7%","76.2%","46%","-",161,62,141,4.9,"66.1%","13.3%","29%",-101,52,-3.5,8.2,"33.1%",607,"30.9%","27.4%",0.12,0.12
"Corki","Middle",1,"2.4%","16.7%","76.2%","0%","-",0,1,0,0,"0.0%","6.3%","0%",-13,-96,7,8.8,"34.5%",393,"31.2%","29.3%",0.24,0.27
"Dr. Mundo","Top",1,"2.4%","0.0%","2.4%","0%","-",1,3,7,2.7,"66.7%","13.6%","0%",-201,-185,-3,5.3,"25.3%",537,"24.2%","18.3%",0.28,0.06
"Draven","ADC",1,"2.4%","7.1%","9.5%","0%","-",3,6,0,0.5,"60.0%","28.6%","100%",312,-405,3,5.9,"18.2%",449,"27.6%","29.0%",0.3,0.09
"Elise","Jungle",5,"11.9%","0.0%","11.9%","40%","-",13,9,42,6.1,"54.5%","9.5%","40%",15,51,5.4,2.6,"8.9%",202,"9.1%","14.0%",1.01,0.33
"Ezreal","ADC",3,"7.1%","0.0%","16.7%","33%","-",15,9,32,5.2,"78.3%","11.8%","33%",-59,-96,-6.7,7.7,"29.8%",602,"28.2%","26.2%",0.11,0.12
"Ezreal","Middle",4,"9.5%","0.0%","16.7%","50%","-",20,14,26,3.3,"62.2%","20.3%","0%",74,-143,-1.3,7,"25.8%",643,"32.4%","23.8%",0.28,0.07
"Fiddlesticks","-",0,"0%","4.8%","4.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Fizz","Middle",1,"2.4%","7.1%","9.5%","100%","-",6,3,12,6,"52.9%","18.8%","0%",-164,-898,-12,5.7,"18.8%",501,"20.0%","19.1%",0.42,0.18
"Gnar","Top",5,"11.9%","88.1%","100.0%","60%","-",20,14,39,4.2,"68.6%","26.9%","40%",270,55,6.2,6.7,"26.7%",504,"25.1%","22.1%",0.31,0.09
"Graves","ADC",3,"7.1%","0.0%","7.1%","33%","-",15,10,15,3,"69.8%","22.2%","0%",143,229,8.3,7.4,"30.8%",476,"24.9%","26.2%",0.16,0.08
"Hecarim","Middle",2,"4.8%","0.0%","4.8%","100%","-",20,7,20,5.7,"75.5%","21.9%","0%",142,-13,10.5,7.6,"27.1%",528,"25.4%","24.7%",0.29,0.14
"Irelia","Top",11,"26.2%","9.5%","35.7%","27%","-",37,55,40,1.4,"56.2%","21.2%","0%",-251,-428,-3.6,6.5,"26.5%",348,"20.8%","21.7%",0.34,0.09
"Janna","Support",30,"71.4%","14.3%","85.7%","53%","-",25,105,353,3.6,"72.8%","18.5%","23%",17,-25,-2.6,0.4,"2.1%",90,"4.7%","12.0%",1.35,0.25
"Jarvan IV","Jungle",27,"64.3%","19.0%","88.1%","52%","-",50,111,323,3.4,"75.7%","23.8%","26%",-156,-207,-0.4,3,"11.0%",211,"10.8%","15.6%",0.68,0.23
"Jarvan IV","Top",2,"4.8%","19.0%","88.1%","50%","-",6,6,26,5.3,"80.0%","17.1%","50%",-512,-457,0,6.8,"30.6%",329,"19.8%","22.7%",0.33,0.14
"Jayce","Middle",6,"14.3%","28.6%","50.0%","33%","-",14,17,22,2.1,"63.2%","17.7%","33%",-39,-451,-7.8,7.2,"30.7%",576,"33.2%","25.9%",0.31,0.23
"Jayce","Top",3,"7.1%","28.6%","50.0%","67%","-",24,13,22,3.5,"56.1%","23.2%","0%",99,140,8.7,6.7,"25.5%",724,"29.5%","22.7%",0.17,0.13
"Jinx","ADC",6,"14.3%","0.0%","14.3%","33%","-",33,26,21,2.1,"67.5%","20.6%","33%",104,24,3.5,8.2,"31.1%",594,"35.4%","27.7%",0.15,0.17
"Karma","Middle",1,"2.4%","0.0%","2.4%","100%","-",8,4,12,5,"80.0%","23.5%","0%",184,148,12,8,"30.0%",868,"34.7%","25.2%",0.18,0.16
"Karthus","Jungle",2,"4.8%","2.4%","9.5%","50%","-",9,12,10,1.6,"55.9%","29.3%","100%",424,322,3.5,4.9,"18.5%",533,"27.5%","20.9%",0.38,0.13
"Karthus","Middle",1,"2.4%","2.4%","9.5%","0%","-",1,7,3,0.6,"100.0%","25.9%","0%",-51,-464,-8,8.7,"38.1%",413,"33.3%","27.3%",0.33,0.04
"Kassadin","Middle",4,"9.5%","28.6%","52.4%","75%","-",28,13,33,4.7,"64.2%","16.9%","25%",31,-225,-2.5,6.3,"21.5%",573,"28.4%","21.7%",0.24,0.14
"Kassadin","Top",6,"14.3%","28.6%","52.4%","50%","-",19,21,50,3.3,"65.1%","19.1%","33%",-274,-644,-5.8,6.2,"25.2%",367,"19.7%","20.2%",0.25,0.19
"Kha'Zix","Jungle",10,"23.8%","2.4%","26.2%","50%","-",35,34,58,2.7,"57.4%","20.4%","40%",99,292,5.4,3.5,"15.6%",351,"17.3%","17.8%",0.46,0.22
"LeBlanc","Middle",6,"14.3%","14.3%","28.6%","17%","-",27,32,41,2.1,"65.4%","21.6%","0%",-31,140,6,6.3,"23.4%",406,"23.3%","22.6%",0.29,0.2
"Lee Sin","Jungle",19,"45.2%","19.0%","64.3%","47%","-",53,76,136,2.5,"58.0%","20.5%","26%",-78,-136,-2.7,2.7,"10.9%",230,"11.2%","15.3%",0.93,0.25
"Lissandra","Middle",1,"2.4%","16.7%","47.6%","0%","-",2,6,8,1.7,"47.6%","15.8%","0%",-164,-455,10,7.1,"31.7%",558,"26.7%","23.2%",0.18,0.18
