"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",2,"15.4%","7.7%","23.1%","50%","-",6,7,8,2,"73.7%","30.4%","50%",388,77,1,8.1,"26.6%",405,"25.8%","23.7%",0.31,0.16
"Alistar","Support",1,"7.7%","84.6%","100.0%","100%","-",0,0,10,10,"66.7%","0.0%","100%",-97,-241,-5,1,"3.1%",77,"3.7%","10.1%",1.06,0.29
"Alistar","Top",1,"7.7%","84.6%","100.0%","0%","-",2,7,5,1,"70.0%","29.2%","0%",-210,-368,0,5.2,"19.7%",436,"21.9%","18.3%",0.62,0.17
"Braum","Support",7,"53.8%","0.0%","53.8%","71%","-",6,15,60,4.4,"75.0%","20.3%","14%",10,35,4,1.2,"4.3%",130,"7.6%","11.4%",1.13,0.18
"Caitlyn","ADC",1,"7.7%","0.0%","7.7%","0%","-",3,2,2,2.5,"45.5%","15.4%","0%",407,261,-3,10.2,"42.7%",579,"37.3%","30.2%",0.28,0.18
"Cho'Gath","-",0,"0%","7.7%","7.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Corki","ADC",8,"61.5%","0.0%","61.5%","63%","-",29,15,52,5.4,"73.6%","17.0%","50%",-157,156,-6.3,8,"28.0%",568,"28.9%","24.6%",0.27,0.15
"Dr. Mundo","Top",1,"7.7%","0.0%","7.7%","0%","-",0,4,3,0.8,"50.0%","20.0%","0%",50,-137,-12,6.3,"18.4%",372,"23.3%","18.2%",0.25,0.12
"Elise","Jungle",4,"30.8%","0.0%","30.8%","50%","-",6,7,25,4.4,"75.6%","17.1%","75%",205,-120,-6.3,3,"9.6%",173,"10.2%","15.1%",1,0.3
"Gragas","Top",1,"7.7%","30.8%","38.5%","100%","-",2,3,4,2,"42.9%","27.3%","0%",-278,-261,-17,7.4,"26.1%",554,"22.9%","21.6%",0.46,0.17
"Hecarim","Middle",1,"7.7%","0.0%","7.7%","0%","-",5,4,3,2,"100.0%","26.7%","0%",-156,-196,-20,8.1,"31.0%",450,"32.0%","29.3%",0.26,0.18
