"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Alistar","Support",1,"4.0%","0.0%","4.0%","0%","-",0,3,8,2.7,"72.7%","18.8%","0%",-145,163,-3,1.1,"3.0%",111,"4.2%","9.8%",1.03,0.3
"Ashe","ADC",15,"60.0%","8.0%","68.0%","47%","-",37,40,103,3.5,"69.3%","19.0%","0%",-297,22,-2.2,7.9,"26.5%",525,"22.7%","22.5%",0.32,0.25
"Aurelion Sol","Middle",1,"4.0%","0.0%","4.0%","100%","-",3,2,5,4,"42.1%","50.0%","0%",-96,-163,-9,7.7,"22.7%",491,"22.8%","19.4%",0.53,0.3
"Bard","Support",4,"16.0%","40.0%","56.0%","75%","-",3,9,40,4.8,"75.4%","20.0%","50%",-3,176,-7.5,0.5,"2.3%",180,"8.2%","11.9%",1.18,0.36
"Braum","Support",15,"60.0%","0.0%","60.0%","53%","-",12,45,158,3.8,"73.0%","21.6%","20%",14,8,2,1.2,"3.8%",170,"7.2%","11.4%",1.29,0.36
"Caitlyn","ADC",1,"4.0%","0.0%","4.0%","0%","-",2,4,4,1.5,"85.7%","30.8%","100%",136,-233,6,9.3,"30.2%",527,"29.4%","25.8%",0.36,0.27
"Cassiopeia","Middle",9,"36.0%","16.0%","52.0%","67%","-",36,18,42,4.3,"62.9%","21.2%","33%",306,108,7,9,"29.5%",530,"25.1%","23.9%",0.47,0.13
"Ekko","Top",10,"40.0%","12.0%","52.0%","60%","-",34,18,60,5.2,"71.8%","17.1%","20%",84,165,4.3,7.9,"26.3%",543,"23.4%","21.9%",0.49,0.11
"Elise","Jungle",4,"16.0%","0.0%","16.0%","50%","-",17,13,22,3,"70.9%","17.1%","0%",-153,-110,0.5,4,"12.9%",489,"18.2%","19.9%",0.89,0.44
"Ezreal","ADC",3,"12.0%","0.0%","12.0%","67%","-",15,11,17,2.9,"71.1%","25.6%","67%",-100,212,-3.3,7.7,"24.9%",777,"31.2%","22.3%",0.4,0.19
"Gangplank","Top",6,"24.0%","52.0%","76.0%","67%","-",20,17,40,3.5,"73.2%","22.1%","33%",-56,-166,-9.8,8.4,"29.6%",741,"30.9%","25.3%",0.48,0.07
"Gnar","Top",16,"64.0%","20.0%","84.0%","50%","-",48,53,93,2.7,"63.5%","24.4%","13%",99,290,3.3,7.4,"25.3%",549,"24.9%","21.5%",0.51,0.18
"Gragas","Jungle",20,"80.0%","4.0%","84.0%","55%","-",35,50,148,3.7,"66.5%","19.5%","35%",-224,-146,-1.4,4,"12.8%",333,"15.2%","18.7%",0.72,0.42
"Irelia","Top",4,"16.0%","0.0%","16.0%","25%","-",8,12,9,1.4,"36.2%","20.3%","25%",-138,-633,-3.3,7.2,"26.6%",299,"16.2%","21.6%",0.44,0.07
"Jayce","Middle",1,"4.0%","0.0%","4.0%","0%","-",1,3,0,0.3,"50.0%","18.8%","0%",-282,245,4,8.7,"40.7%",442,"34.6%","28.6%",0.47,0.16
"Jhin","ADC",18,"72.0%","4.0%","76.0%","44%","-",75,45,102,3.9,"71.1%","17.6%","28%",223,41,3.2,8.1,"26.5%",747,"31.5%","23.1%",0.36,0.15
"Kalista","ADC",1,"4.0%","0.0%","4.0%","0%","-",5,3,2,2.3,"63.6%","18.8%","0%",-381,-441,1,9.8,"32.0%",867,"32.8%","26.9%",0.35,0.24
"Karma","Middle",1,"4.0%","68.0%","92.0%","0%","-",3,7,6,1.3,"64.3%","21.9%","0%",-526,-364,-7,7.4,"23.4%",464,"16.3%","20.6%",0.43,0.07
"Karma","Support",5,"20.0%","68.0%","92.0%","40%","-",2,14,41,3.1,"79.6%","17.3%","40%",-7,29,-8.2,0.5,"2.4%",172,"8.2%","12.0%",1.25,0.24
"Kassadin","Middle",2,"8.0%","0.0%","8.0%","0%","-",6,9,6,1.3,"54.5%","30.0%","0%",27,-30,-7.5,7.9,"24.3%",794,"25.9%","21.5%",0.49,0.15
"Kennen","Top",3,"12.0%","0.0%","12.0%","33%","-",6,15,18,1.6,"85.7%","30.6%","33%",14,-226,6.3,6,"20.5%",491,"20.6%","19.4%",0.5,0.24
"LeBlanc","Middle",4,"16.0%","0.0%","16.0%","25%","-",29,15,14,2.9,"68.3%","20.5%","0%",128,89,2.8,7.6,"24.9%",470,"24.9%","23.6%",0.38,0.13
"Lee Sin","Jungle",1,"4.0%","0.0%","4.0%","0%","-",2,7,3,0.7,"62.5%","23.3%","100%",287,-489,0,4.7,"23.1%",292,"16.6%","23.5%",0.41,0.07
"Lissandra","Middle",5,"20.0%","0.0%","28.0%","60%","-",23,17,25,2.8,"77.4%","26.6%","20%",-194,-202,-5.2,8.5,"26.6%",498,"21.9%","23.2%",0.37,0.16
"Lissandra","Top",2,"8.0%","0.0%","28.0%","0%","-",2,11,5,0.6,"53.8%","22.4%","0%",-206,-493,-6,7.5,"28.0%",496,"22.7%","22.8%",0.49,0.15
"Lucian","ADC",1,"4.0%","0.0%","4.0%","100%","-",8,2,9,8.5,"81.0%","15.4%","0%",-211,182,3,8.4,"28.5%",834,"33.2%","25.7%",0.41,0.34
"Malzahar","Middle",2,"8.0%","0.0%","8.0%","0%","-",6,7,3,1.3,"60.0%","19.4%","0%",-133,-31,-17,8.2,"26.3%",660,"27.3%","22.7%",0.48,0.06
"Olaf","Jungle",1,"4.0%","16.0%","20.0%","100%","-",3,1,8,11,"57.9%","25.0%","100%",1004,85,9,3.7,"10.8%",436,"20.2%","17.9%",0.68,0.42
"Pantheon","Middle",1,"4.0%","0.0%","4.0%","0%","-",2,8,2,0.5,"50.0%","26.7%","100%",-824,-632,-13,5.2,"23.5%",398,"22.7%","19.4%",0.45,0.04
"Rek'Sai","Jungle",23,"92.0%","0.0%","92.0%","48%","-",44,53,188,4.4,"72.3%","17.4%","35%",181,177,0.8,4.6,"15.3%",362,"15.7%","19.9%",0.81,0.52
"Riven","Top",1,"4.0%","0.0%","4.0%","0%","-",3,5,3,1.2,"42.9%","17.9%","0%",-73,151,4,9.7,"31.1%",408,"22.1%","25.7%",0.5,0.1
"Rumble","Top",1,"4.0%","36.0%","40.0%","100%","-",6,3,9,5,"75.0%","27.3%","0%",569,631,30,8.1,"27.6%",1032,"37.5%","23.3%",0.53,0.09
"Shen","Top",7,"28.0%","32.0%","60.0%","57%","-",15,17,74,5.2,"70.1%","18.5%","0%",-237,-269,-9.1,7,"22.6%",503,"17.1%","19.9%",0.51,0.08
"Sivir","ADC",11,"44.0%","56.0%","100.0%","64%","-",49,24,63,4.7,"75.2%","17.5%","27%",109,-110,-2.3,9.8,"33.2%",656,"28.5%","26.0%",0.36,0.29
"Soraka","Support",1,"4.0%","4.0%","8.0%","0%","-",0,1,3,3,"75.0%","9.1%","0%",96,542,-13,0.3,"1.0%",87,"8.0%","9.3%",1.17,0.24
"Syndra","Middle",7,"28.0%","44.0%","72.0%","71%","-",56,15,50,7.1,"76.8%","18.8%","57%",220,207,7.6,9.3,"33.1%",768,"31.6%","26.2%",0.44,0.17
"Tahm Kench","Support",6,"24.0%","64.0%","88.0%","33%","-",2,17,44,2.7,"63.9%","22.7%","33%",106,73,3.5,1.1,"3.5%",105,"5.4%","11.1%",1.24,0.33
"Taliyah","Middle",5,"20.0%","40.0%","60.0%","40%","-",10,19,29,2.1,"69.6%","26.4%","20%",-144,-5,-6,8.2,"24.9%",550,"22.9%","21.3%",0.48,0.11
"Taric","Support",3,"12.0%","0.0%","12.0%","67%","-",1,7,37,5.4,"90.5%","21.2%","33%",50,0,1.7,1.4,"4.5%",107,"3.9%","11.6%",1.65,0.3
"Thresh","Support",3,"12.0%","0.0%","12.0%","67%","-",1,6,33,5.7,"60.7%","18.8%","0%",-362,-519,-1.3,0.6,"1.9%",102,"5.6%","11.1%",1.14,0.22
"Trundle","Support",12,"48.0%","4.0%","52.0%","50%","-",7,27,94,3.7,"65.2%","14.5%","8%",15,-46,2.9,1.4,"4.6%",117,"4.8%","11.5%",1.54,0.44
"Vel'Koz","Middle",3,"12.0%","0.0%","12.0%","33%","-",8,9,12,2.2,"62.5%","23.1%","0%",-267,-81,-5.3,8.7,"30.0%",732,"30.7%","24.3%",0.5,0.15
"Viktor","Middle",3,"12.0%","0.0%","12.0%","33%","-",7,7,16,3.3,"74.2%","13.0%","0%",-208,-95,-8.3,9.4,"31.5%",783,"29.2%","24.8%",0.49,0.18
"Vladimir","Middle",5,"20.0%","80.0%","100.0%","80%","-",23,13,36,4.5,"74.7%","20.3%","40%",58,-6,9,9.1,"28.7%",690,"26.5%","23.4%",0.47,0.21
"Zac","Jungle",1,"4.0%","0.0%","4.0%","0%","-",1,5,3,0.8,"66.7%","33.3%","0%",-375,-299,-1,4.3,"12.4%",377,"21.8%","19.6%",0.7,0.4
"Zilean","Middle",1,"4.0%","0.0%","4.0%","100%","-",8,0,7,15,"78.9%","0.0%","0%",-42,-147,-1,8.2,"28.7%",796,"27.5%","24.9%",0.41,0.11
