,summer_2021,spring_2021,summer_2020,spring_2020,summer_2019,spring_2019,summer_2018,spring_2018,summer_2017,spring_2017,summer_2016,spring_2016,summer_2015,spring_2015,summer_2014,spring_2014,summer_2013,spring_2013
Aatrox,1.0,20.0,12.0,46.0,67.0,8.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0
Ahri,0.0,5.0,0.0,0.0,3.0,0.0,2.0,0.0,38.0,30.0,1.0,8.0,10.0,35.0,4.0,28.0,35.0,5.0
Akali,10.0,6.0,4.0,0.0,10.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,7.0
Alistar,4.0,64.0,4.0,2.0,5.0,8.0,44.0,28.0,24.0,1.0,36.0,58.0,53.0,12.0,5.0,8.0,3.0,27.0
Amumu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,9.0
Anivia,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,10.0,16.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
Annie,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,25.0,1.0,82.0,1.0,1.0
Aphelios,0.0,22.0,42.0,32.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashe,0.0,5.0,68.0,2.0,7.0,6.0,9.0,6.0,55.0,117.0,100.0,1.0,13.0,0.0,0.0,0.0,29.0,2.0
Aurelion Sol,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azir,0.0,48.0,42.0,18.0,13.0,0.0,2.0,32.0,0.0,11.0,50.0,15.0,40.0,13.0,0.0,0.0,0.0,0.0
Bard,0.0,4.0,34.0,2.0,2.0,0.0,0.0,4.0,26.0,5.0,63.0,28.0,7.0,0.0,0.0,0.0,0.0,0.0
Blitzcrank,0.0,6.0,9.0,10.0,2.0,0.0,0.0,5.0,27.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,17.0,5.0
Brand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Braum,5.0,2.0,24.0,10.0,32.0,26.0,57.0,77.0,70.0,11.0,129.0,48.0,25.0,25.0,61.0,0.0,0.0,0.0
Caitlyn,0.0,3.0,26.0,0.0,3.0,0.0,1.0,40.0,62.0,39.0,43.0,25.0,0.0,12.0,13.0,91.0,47.0,49.0
Camille,0.0,32.0,9.0,0.0,8.0,0.0,21.0,24.0,25.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cassiopeia,0.0,1.0,9.0,0.0,10.0,0.0,8.0,26.0,47.0,37.0,53.0,2.0,3.0,5.0,0.0,1.0,0.0,2.0
Cho'Gath,0.0,5.0,0.0,0.0,1.0,4.0,10.0,29.0,27.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,4.0,18.0
Corki,0.0,3.0,9.0,12.0,9.0,4.0,7.0,18.0,65.0,53.0,4.0,57.0,31.0,84.0,48.0,22.0,4.0,4.0
Darius,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Diana,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,14.0,29.0
Dr. Mundo,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,5.0,32.0,54.0,0.0,1.0
Draven,0.0,2.0,0.0,0.0,2.0,0.0,6.0,3.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,11.0,34.0,21.0
Ekko,0.0,3.0,6.0,4.0,3.0,0.0,0.0,0.0,5.0,30.0,39.0,15.0,16.0,0.0,0.0,0.0,0.0,0.0
Elise,0.0,0.0,0.0,2.0,15.0,4.0,4.0,4.0,83.0,42.0,64.0,59.0,11.0,10.0,94.0,92.0,83.0,40.0
Evelynn,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,2.0,3.0,20.0,0.0,39.0,31.0,16.0,4.0
Ezreal,18.0,10.0,57.0,4.0,21.0,16.0,51.0,43.0,6.0,72.0,54.0,23.0,16.0,19.0,4.0,22.0,65.0,32.0
Fiddlesticks,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,19.0,1.0
Fiora,0.0,1.0,0.0,0.0,3.0,0.0,0.0,4.0,16.0,13.0,18.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
Fizz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,10.0,0.0,14.0,7.0,4.0,2.0,1.0,3.0
Galio,1.0,23.0,17.0,0.0,1.0,24.0,24.0,17.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Gangplank,5.0,32.0,24.0,10.0,20.0,6.0,7.0,31.0,0.0,12.0,15.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0
Garen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Gnar,7.0,54.0,3.0,0.0,0.0,0.0,4.0,65.0,38.0,13.0,72.0,6.0,39.0,29.0,0.0,0.0,0.0,0.0
Gragas,3.0,46.0,1.0,22.0,36.0,4.0,18.0,15.0,134.0,41.0,108.0,42.0,61.0,20.0,24.0,51.0,9.0,14.0
Graves,0.0,31.0,54.0,2.0,0.0,0.0,3.0,0.0,23.0,70.0,41.0,35.0,5.0,48.0,1.0,12.0,21.0,6.0
Gwen,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hecarim,0.0,55.0,8.0,2.0,0.0,4.0,1.0,0.0,0.0,3.0,27.0,1.0,22.0,12.0,0.0,0.0,6.0,6.0
Heimerdinger,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Illaoi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Irelia,0.0,7.0,2.0,2.0,8.0,8.0,14.0,0.0,1.0,1.0,77.0,0.0,8.0,27.0,17.0,5.0,2.0,6.0
Ivern,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Janna,0.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,19.0,7.0,5.0,34.0,37.0,90.0,0.0,6.0,20.0,12.0
Jarvan IV,0.0,3.0,3.0,22.0,36.0,22.0,28.0,26.0,99.0,6.0,6.0,0.0,12.0,71.0,11.0,25.0,64.0,62.0
Jax,0.0,6.0,2.0,0.0,0.0,2.0,4.0,11.0,5.0,1.0,26.0,3.0,0.0,3.0,25.0,17.0,1.0,1.0
Jayce,5.0,12.0,18.0,0.0,5.0,12.0,16.0,4.0,19.0,56.0,2.0,0.0,6.0,9.0,1.0,7.0,48.0,19.0
Jhin,1.0,18.0,4.0,0.0,0.0,0.0,4.0,11.0,59.0,105.0,70.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
Jinx,6.0,10.0,0.0,0.0,1.0,4.0,10.0,2.0,4.0,0.0,1.0,1.0,24.0,20.0,25.0,50.0,0.0,0.0
Kai'Sa,11.0,95.0,6.0,0.0,13.0,8.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kalista,1.0,15.0,24.0,26.0,5.0,6.0,7.0,26.0,55.0,5.0,6.0,55.0,31.0,22.0,0.0,0.0,0.0,0.0
Karma,4.0,6.0,23.0,0.0,8.0,0.0,2.0,5.0,57.0,111.0,150.0,14.0,5.0,1.0,8.0,20.0,2.0,0.0
Karthus,1.0,1.0,1.0,0.0,1.0,2.0,8.0,0.0,3.0,1.0,1.0,0.0,0.0,8.0,1.0,12.0,41.0,31.0
Kassadin,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,11.0,5.0,8.0,0.0,10.0,27.0,14.0,13.0,11.0,2.0
Katarina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,9.0
Kayle,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,13.0,12.0,8.0,20.0
Kayn,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kennen,1.0,3.0,13.0,0.0,4.0,14.0,11.0,0.0,32.0,6.0,3.0,1.0,2.0,16.0,0.0,6.0,53.0,2.0
Kha'Zix,0.0,0.0,1.0,0.0,0.0,0.0,5.0,17.0,30.0,118.0,1.0,0.0,1.0,23.0,41.0,42.0,16.0,25.0
Kindred,0.0,5.0,7.0,6.0,1.0,8.0,9.0,0.0,0.0,1.0,32.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
Kled,0.0,3.0,0.0,0.0,4.0,0.0,0.0,5.0,34.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kog'Maw,3.0,0.0,5.0,2.0,0.0,4.0,2.0,23.0,36.0,4.0,3.0,8.0,30.0,11.0,46.0,2.0,8.0,27.0
LeBlanc,2.0,4.0,16.0,8.0,15.0,6.0,16.0,4.0,16.0,19.0,20.0,18.0,10.0,30.0,13.0,40.0,0.0,1.0
Lee Sin,19.0,0.0,40.0,2.0,41.0,2.0,23.0,3.0,71.0,68.0,4.0,19.0,16.0,47.0,70.0,56.0,32.0,12.0
Leona,19.0,32.0,10.0,0.0,16.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,19.0,6.0,71.0,4.0,7.0
Lillia,1.0,54.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lissandra,0.0,0.0,2.0,0.0,0.0,12.0,33.0,0.0,0.0,1.0,39.0,20.0,0.0,42.0,0.0,10.0,8.0,0.0
Lucian,5.0,20.0,7.0,0.0,2.0,8.0,19.0,4.0,32.0,18.0,98.0,64.0,11.0,62.0,84.0,112.0,0.0,0.0
Lulu,4.0,5.0,6.0,0.0,0.0,2.0,2.0,8.0,38.0,85.0,4.0,31.0,20.0,42.0,74.0,47.0,29.0,50.0
Lux,0.0,0.0,6.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,2.0,9.0,24.0
Malphite,1.0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,2.0,6.0,1.0,2.0,13.0,21.0
Malzahar,0.0,0.0,1.0,0.0,2.0,0.0,8.0,10.0,5.0,75.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maokai,0.0,4.0,4.0,2.0,1.0,0.0,1.0,13.0,54.0,94.0,38.0,12.0,49.0,66.0,23.0,0.0,2.0,7.0
Master Yi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0
Miss Fortune,0.0,14.0,3.0,16.0,34.0,0.0,1.0,0.0,3.0,28.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,28.0
Mordekaiser,0.0,1.0,22.0,0.0,12.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Morgana,0.0,1.0,16.0,0.0,4.0,6.0,7.0,18.0,33.0,13.0,8.0,25.0,9.0,50.0,67.0,32.0,1.0,2.0
Nami,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,43.0,25.0,0.0,1.0,29.0,50.0,10.0,17.0,2.0
Nasus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,50.0,45.0
Nautilus,4.0,25.0,26.0,30.0,46.0,0.0,0.0,1.0,11.0,105.0,0.0,19.0,45.0,20.0,0.0,2.0,5.0,1.0
Neeko,0.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nidalee,3.0,32.0,19.0,0.0,0.0,0.0,0.0,3.0,18.0,14.0,45.0,30.0,23.0,16.0,25.0,42.0,3.0,17.0
Nocturne,6.0,7.0,2.0,8.0,0.0,2.0,23.0,3.0,1.0,0.0,0.0,1.0,3.0,4.0,8.0,14.0,30.0,15.0
