,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Alistar,Akali,Ahri,Darius,Aatrox,Azir,Bard,Aurelion Sol,Kayn,Kai'Sa,Aphelios,Lillia,Gwen
1,Amumu,Cassiopeia,Brand,Diana,Jinx,Braum,Ekko,Camille,Ornn,Neeko,Qiyana,Rell,Viego
2,Anivia,Ezreal,Caitlyn,Draven,Lissandra,Gnar,Illaoi,Ivern,Rakan,Pyke,Senna,Samira,
3,Annie,Galio,Fizz,Elise,Lucian,Kalista,Kindred,Jhin,Xayah,,Sylas,Seraphine,
4,Ashe,Garen,Graves,Fiora,Quinn,Rek'Sai,Tahm Kench,Kled,Zoe,,Yuumi,Sett,
5,Blitzcrank,Gragas,Jarvan IV,Hecarim,Thresh,Vel'Koz,,Taliyah,,,,Yone,
6,Cho'Gath,Irelia,Karma,Jayce,Yasuo,,,,,,,,
7,Corki,Kennen,Lee Sin,Kha'Zix,Zac,,,,,,,,
8,Dr. Mundo,Kog'Maw,Leona,Lulu,,,,,,,,,
9,Evelynn,LeBlanc,Maokai,Nami,,,,,,,,,
10,Fiddlesticks,Lux,Nocturne,Nautilus,,,,,,,,,
11,Gangplank,Malzahar,Orianna,Rengar,,,,,,,,,
12,Heimerdinger,Miss Fortune,Renekton,Sejuani,,,,,,,,,
13,Janna,Mordekaiser,Riven,Syndra,,,,,,,,,
14,Jax,Olaf,Rumble,Varus,,,,,,,,,
15,Karthus,Pantheon,Shyvana,Vi,,,,,,,,,
16,Kassadin,Poppy,Skarner,Zed,,,,,,,,,
17,Katarina,Shen,Talon,Ziggs,,,,,,,,,
18,Kayle,Sona,Vayne,Zyra,,,,,,,,,
19,Malphite,Swain,Viktor,,,,,,,,,,
20,Master Yi,Trundle,Volibear,,,,,,,,,,
21,Morgana,Urgot,Wukong,,,,,,,,,,
22,Nasus,Vladimir,Xerath,,,,,,,,,,
23,Nidalee,Xin Zhao,Yorick,,,,,,,,,,
24,Nunu & Willump,,,,,,,,,,,,
25,Rammus,,,,,,,,,,,,
26,Ryze,,,,,,,,,,,,
27,Shaco,,,,,,,,,,,,
28,Singed,,,,,,,,,,,,
29,Sion,,,,,,,,,,,,
30,Sivir,,,,,,,,,,,,
31,Soraka,,,,,,,,,,,,
32,Taric,,,,,,,,,,,,
33,Teemo,,,,,,,,,,,,
34,Tristana,,,,,,,,,,,,
35,Tryndamere,,,,,,,,,,,,
36,Twisted Fate,,,,,,,,,,,,
37,Twitch,,,,,,,,,,,,
38,Udyr,,,,,,,,,,,,
39,Veigar,,,,,,,,,,,,
40,Warwick,,,,,,,,,,,,
41,Zilean,,,,,,,,,,,,
